month,average_price
January 2015,414.56323100953165
February 2015,689.0001382656583
March 2015,1260.4921536742393
April 2015,1712.2175304484713
May 2015,1668.6491184228562
June 2015,1363.3389223086692
July 2015,1652.1059625926111
August 2015,2025.1789401520068
September 2015,2297.864659659266
October 2015,2422.1060727923605
November 2015,2388.896908505587
December 2015,2385.4127736764744
January 2016,2521.0528842263134
February 2016,2199.9478278082106
March 2016,1636.2731364585272
April 2016,1921.748598997247
May 2016,1713.9843191156835
June 2016,1759.5890868169795
July 2016,2046.5115458602093
August 2016,2190.208425732954
September 2016,2610.143125662594
October 2016,3593.3496753188847
November 2016,3062.0547815283603
December 2016,2329.206655938921
January 2017,2467.2702458646304
February 2017,2577.778593120768
March 2017,2799.046343989319
April 2017,2932.024534759174
May 2017,2411.162562259536
June 2017,2542.7088665484293
July 2017,2406.4398688347305
August 2017,2355.942161907025
September 2017,1885.5603057710462
October 2017,2050.542989777688
November 2017,2875.8966089700352
December 2017,3916.7209847082086
January 2018,3363.4394407334057
February 2018,4085.2978842387747
March 2018,4364.661313587869
April 2018,3855.5862043246825
May 2018,5143.821287531567
June 2018,4527.547383192499
July 2018,5390.262457495715
August 2018,5973.785847846235
September 2018,5344.153852240626
October 2018,5840.177914151256
November 2018,5359.967538466282
December 2018,5550.176203242585
January 2019,4959.867278257461
February 2019,4101.186174797824
March 2019,3732.4855073008157
April 2019,3387.6201295600986
May 2019,2687.006326616151
June 2019,2057.3031327040726
July 2019,1761.3707295831807
August 2019,1422.8334969683344
September 2019,1702.2110516800622
October 2019,1579.9343245625682
November 2019,1141.4187512314788
December 2019,898.0172603299146
