month,average_price
January 2015,1872.8424578693366
February 2015,1821.895878008049
March 2015,1584.392130123186
April 2015,1573.2331893043026
May 2015,1637.163652545131
June 2015,1468.0178672717166
July 2015,1320.1319924800216
August 2015,1318.00347519697
September 2015,1374.8820809278884
October 2015,1212.278569102609
November 2015,1029.9186590165684
December 2015,860.0343084527664
January 2016,930.2277686765449
February 2016,917.8067626819296
March 2016,712.2789320245498
April 2016,669.4354097253997
May 2016,660.1173988075814
June 2016,614.1165498052576
July 2016,665.6789767995609
August 2016,845.7588487441207
September 2016,917.3304378959702
October 2016,858.7191550519287
November 2016,886.5123896561585
December 2016,977.3776142352654
January 2017,902.1164793787134
February 2017,803.578915682387
March 2017,783.3137865574568
April 2017,783.8552105842198
May 2017,644.4323396194162
June 2017,608.4597086846335
July 2017,449.58078699309044
August 2017,394.07019334251066
September 2017,356.07000280827333
October 2017,355.2838038846742
November 2017,298.2634863853368
December 2017,224.14454261856181
January 2018,226.43115954664458
February 2018,212.63164706451516
March 2018,156.3931690083668
April 2018,122.67273406806981
May 2018,116.18121146755992
June 2018,111.46694009074206
July 2018,117.48485454900637
August 2018,113.5257298131569
September 2018,104.34011567762703
October 2018,96.49751909034617
November 2018,92.5604090579354
December 2018,95.82496236768031
January 2019,91.18305848593415
February 2019,71.32335843719767
March 2019,63.393761727791926
April 2019,67.13403825107447
May 2019,59.36360139699196
June 2019,45.599165941952585
July 2019,49.04890301841983
August 2019,51.51977030061498
September 2019,51.68645698994915
October 2019,36.28906287084151
November 2019,28.551036356495974
December 2019,28.97130702071082
