month,average_price
January 2015,4.858852280915428
February 2015,5.887046962728421
March 2015,7.237218783078384
April 2015,8.862149987597125
May 2015,10.042951113479594
June 2015,10.834517862523201
July 2015,11.57635355027306
August 2015,12.37989384451691
September 2015,13.595048247241033
October 2015,15.50690279728118
November 2015,16.260404513309123
December 2015,17.209570559117445
January 2016,16.558563052972197
February 2016,17.387415454535784
March 2016,18.013085561176187
April 2016,19.613484379816416
May 2016,19.54020235682698
June 2016,20.965008548150134
July 2016,21.189636591882817
August 2016,19.74826691046053
September 2016,19.43136642593173
October 2016,22.513843470875578
November 2016,28.00622859576159
December 2016,36.75923536624207
January 2017,42.71962559547299
February 2017,45.78894824767292
March 2017,58.82363910150854
April 2017,65.5834639295733
May 2017,69.71298674163259
June 2017,75.46291154648893
July 2017,78.9072093929932
August 2017,85.95972051212787
September 2017,85.32829389108676
October 2017,93.77292692390765
November 2017,96.55327915343014
December 2017,98.30590314995649
January 2018,104.31162885020134
February 2018,115.33180645577468
March 2018,132.0941019226365
April 2018,134.8388053661259
May 2018,149.3828002405196
June 2018,170.01047361567336
July 2018,170.28792815882153
August 2018,179.89149917894568
September 2018,199.11655277944777
October 2018,215.34437883990643
November 2018,233.84440387054138
December 2018,256.29612126492987
January 2019,224.3948088212059
February 2019,248.20300438132435
March 2019,263.4642069722461
April 2019,268.9214840636445
May 2019,258.5624010897567
June 2019,253.33206604964386
July 2019,294.25797555132647
August 2019,309.35916113144634
September 2019,315.3265473031484
October 2019,363.6274845430409
November 2019,383.74475414550784
December 2019,425.33998998227366
